ABICB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARICB,5726,6275,5741,8194,7749,7369,12551,13391,15229,18103,24414,19444,23661,22666,26101,15467,13486,14402,17829,19633,13677,10863,10099,10929,16489,17009,16791,16535,17806,15832,15705,14472,19801,15447,17083,20823,16324,17945,26355,25312,22752,17039,23431,23017,31934,30780,27373,27034,23059,19000,20002,20563,18436,16386,16284,17082
ARTCB,5726,6275,5741,8194,7749,7369,12551,13391,15229,18103,24414,19444,23661,22666,26101,15467,13486,14402,17829,19633,13677,10863,10099,10929,16489,17009,16791,16535,17806,15832,15705,14472,19801,15447,17083,20823,16324,17945,26355,25312,22752,17039,23431,23017,31934,30780,27373,27034,23059,19000,20002,20563,18436,16386,16284,17082
ARTXB,5726,6275,5741,8194,7749,7369,12551,13391,15229,18103,24414,19444,23661,22666,26101,15467,13486,14402,17829,19633,13677,10863,10099,10929,16489,17009,16791,16535,17806,15832,15705,14472,19801,15447,17083,20823,16324,17945,26355,25312,22752,17039,23431,23017,31934,30780,27373,27034,23059,19000,20002,20563,18436,16386,16284,17082
AVACB,3531,2324,3777,3399,3006,2411,2635,2721,2403,2168,2158,2113,2071,1814,2047,1807,1701,1891,1724,1864,1416,1136,791,788,958,929,1139,1047,938,1061,979,950,798,646,717,703,780,761,965,792,1028,966,925,1177,827,947,893,732,789,640,940,1034,842,701,1036,972
AVTCB,3531,2324,3777,3399,3006,2411,2635,2721,2403,2168,2158,2113,2071,1814,2047,1807,1701,1891,1724,1864,1416,1136,791,788,958,929,1139,1047,938,1061,979,950,798,646,717,703,780,761,965,792,1028,966,925,1177,827,947,893,732,789,640,940,1034,842,701,1036,972
AVTXB,3531,2324,3777,3399,3006,2411,2635,2721,2403,2168,2158,2113,2071,1814,2047,1807,1701,1891,1724,1864,1416,1136,791,788,958,929,1139,1047,938,1061,979,950,798,646,717,703,780,761,965,792,1028,966,925,1177,827,947,893,732,789,640,940,1034,842,701,1036,972
BMTCB,4013,3837,3672,4028,4089,3695,3679,4180,4147,4389,4339,4526,4782,4574,4783,5414,5816,6838,7129,8291,17835,21469,21635,23644,25139,25558,24043,17521,18365,15620,13741,14585,15095,13871,14181,16652,14706,16421,12302,12492,13376,10376,9299,9556,9671,25121,24988,28844,36093,28809,29289,28565,27268,26492,31466,33730
CLACB,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLCCB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,16,15,0,2,2,0,2,5,65,17,2,96,3,3,7,1,1,11,13,13,16,24,14,13,0,0,0,0,0,0,0,0
CLEIB,0,0,6065,8272,8990,6938,7326,7162,8115,8338,8514,8683,7245,9692,48136,89817,132654,162773,150820,208242,231894,294720,305418,265103,288209,303200,249613,269585,296748,338881,330161,333518,356833,376336,387732,329673,329469,356152,373335,390094,416851,409293,392476,391273,409201,412493,415655,423202,445798,404530,447137,449888,411861,450547,442660,380388
CLICB,206,210,225,160,113,92,47,22,22,44,109,193,278,235,222,2632,7305,17073,9159,37988,13100,24718,30807,30339,36634,38793,46275,13295,12290,14263,13251,13737,12831,13482,14656,13106,13367,13716,13427,13167,15958,14718,13988,15249,16194,15926,16315,15308,12929,8730,10772,10021,8709,4318,5189,5434
CLKCB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLOCB,206,210,225,160,113,92,47,22,22,44,109,193,278,235,222,2632,7305,17073,9159,37988,13100,24718,30807,30339,36634,38793,46275,13295,12290,14263,13251,13737,12831,13482,14656,13106,13367,13716,13427,13167,15958,14718,13988,15249,16194,15926,16315,15308,12929,8730,10772,10021,8709,4318,5189,5434
CLRCB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,0,0,1,0,0,1,14,4,0,14,0,0,1,0,0,1,2,2,2,2,1,1,0,0,0,0,0,0,0,0
CLTCB,210,211,6291,8432,9103,7030,7373,7184,8137,8381,8623,8876,7523,9927,48359,92449,139960,179847,159980,246230,244994,319438,336245,295442,324862,342013,295888,282882,309041,353144,343415,347261,369743,389839,402390,342889,342839,369872,386770,403262,432810,424023,406479,406537,425413,428445,431985,438524,458727,413260,457909,459909,420570,454865,447849,385822
CLTXB,210,211,226,160,113,93,47,22,22,44,109,193,278,235,223,2632,7305,17074,9159,37988,13100,24718,30827,30339,36654,38813,46275,13297,12293,14263,13254,13743,12910,13503,14658,13216,13370,13720,13435,13168,15959,14730,14003,15264,16212,15951,16330,15322,12929,8730,10772,10021,8709,4318,5189,5434
COICB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DFACB,8178,9824,10050,13497,14656,10429,10947,10356,17594,17442,18594,18427,26134,32884,29560,27704,29376,35063,37918,39520,37745,38673,33825,36593,38209,44412,44946,42967,45233,43636,46230,42088,48422,65756,61830,64416,73439,75132,80331,87212,84223,93368,88663,100509,110159,119013,125945,123215,107936,106304,107667,110652,105983,106516,106429,109557
DFCCB,618,600,620,569,674,765,877,814,1283,1408,1281,1450,2239,2914,2816,2823,2792,3689,4188,2652,1633,349,134,1255,1472,2696,2252,2616,2632,2206,2655,1757,1499,1447,2277,2062,3443,3810,6527,5499,5047,4456,4841,2857,2014,2751,2661,3705,7086,5020,6931,6732,6610,5867,5915,6284
DFEIB,15,10,35,31,39,16,5,6,17,16,7,37,-598,2005,3122,9163,6413,7018,6953,3494,2543,1726,1489,1268,1051,1231,1398,1909,1145,1249,1168,844,717,551,398,621,586,641,679,438,2075,2531,583,556,484,453,762,490,512,599,678,556,437,466,624,532
DFICB,7149,7422,6601,6159,4851,9001,10794,9927,7302,7903,8079,9962,15359,20864,18775,18134,19040,26453,32857,22889,20798,17439,12661,12937,15167,10478,16447,12041,11006,18141,16126,15172,15949,14749,16070,20892,23665,24615,21065,24191,24566,25242,21822,17730,18275,28628,26359,24870,34931,26639,28878,32976,32683,33062,30001,25489
DFRCB,276,268,277,254,301,341,391,364,573,629,572,648,1000,1301,1257,1260,1246,1647,1870,1184,12,6,0,3,4,68,63,96,34,40,55,29,35,46,32,34,56,42,26,21,23,38,55,55,29,19,20,13,12,19,16,18,22,12,12,6
DFTCB,16236,18123,17582,20509,20522,20553,23014,21466,26770,27399,28534,30524,44134,59967,55530,59084,58868,73870,83787,69739,62730,58193,48109,52057,55902,58886,65105,59630,60051,65271,66234,59891,66623,82550,80606,88025,101190,104240,108627,117361,115935,125635,115963,121706,130960,150863,155747,152293,150478,138581,144170,150934,145735,145923,142981,141868
DFTXB,16221,18114,17548,20478,20483,20536,23008,21460,26752,27383,28527,30487,44732,57962,52407,49921,52454,66853,76834,66245,60187,56467,46620,50789,54851,57655,63707,57720,58905,64022,65066,59047,65906,81999,80209,87404,100603,103600,107949,116923,113860,123104,115381,121150,130477,150410,154985,151803,149966,137982,143492,150378,145298,145457,142357,141335
DKEIB,15,10,35,31,39,16,5,6,17,16,7,37,661,2912,3860,9617,6413,7018,6953,3494,2543,1726,1489,1268,1051,1231,1398,1909,1145,1249,1168,844,717,551,398,621,586,641,679,438,2075,2531,583,556,484,453,762,490,512,599,678,556,437,466,624,532
ELEXB,51,49,70,78,87,97,104,116,129,150,175,207,452,321,98,108,131,129,122,135,138,36,23,4,4,0,5,5,6,7,7,7,7,8,8,2,9,165,0,0,0,0,234,242,319,623,1057,754,1196,1208,615,242,227,90,34,5
ELIMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,60,63,73,0,0,0,0,0,0,0,0,0,0,0,0,0,370,0,0,0,1148,0,557,14,0,161,188,282,188,585,352,435,763,300,420,849,1697,284,114,199,63
ELISB,-14966,-16277,-15045,-8686,4278,6384,4463,13963,6104,10429,25353,24285,31742,28986,15259,15609,-19978,-44183,-35480,-69405,-85622,-100722,-105474,-123025,-149834,-137018,-163285,-143953,-220881,-98724,-195294,-237729,-251419,-218174,-224362,-191045,-170653,-220606,-239857,-235900,-252228,-254237,-283383,-267352,-331418,-267224,-254036,-292384,-361977,-325366,-336695,-288505,-304553,-325837,-313529,-305809
ELNIB,-51,-49,-70,-78,-87,-97,-104,-116,-129,-150,-175,-207,-452,-321,-75,-47,-68,-55,-122,-135,-138,-36,-23,-4,-4,0,-5,-5,-6,-7,-7,363,-7,-8,-8,1146,-9,392,14,0,161,188,48,-54,265,-271,-622,9,-896,-788,234,1456,58,23,165,58
EMACB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,41,6,0,0,0,0,0,0,0,0,0,273,716,2251,1898,1885,1454,1260,1442,1977,1128,1087,1043,13517,14276,15927,19174,19112,19488,19614,19042,19844,21317,22800
EMCCB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,1,1,1,1,1,1,8,9,10,13,35,46,40,34,40,15,646
EMICB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,20,17,18,13,8,9,31,17,18,20,213,256,249,311,306,273,281,294,312,321,615
EMLCB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1562,3012,3023,3149,3058,2153,0,2299,2671
EMTCB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,42,6,0,0,0,0,0,0,0,0,0,276,723,2272,1916,1904,1468,1269,1452,2010,1146,1105,1063,13738,14541,16186,19498,19452,19807,19936,19370,20197,21652,24060
ESACB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
ESCCB,11267,10054,9945,10865,11305,10386,11178,12256,12881,14688,16003,18096,20412,21959,23269,24438,26020,27995,28006,29626,31124,31606,31693,32565,38110,41950,44655,48875,50920,53835,54790,53916,55840,57027,60619,63332,66722,70015,73984,77412,82949,84267,85852,86749,89075,93722,97672,103982,102913,100264,98753,100696,101310,102493,99937,99918
ESICB,5053,6700,9119,9441,10061,11364,12240,11984,12691,14428,16212,17049,19083,20377,21728,23433,24578,24755,25344,27518,27306,34231,27538,26997,25478,28855,28517,28981,31600,33172,34235,35502,37721,37495,38567,40916,43615,45219,42817,42501,40859,38817,37622,37237,40624,38824,41829,41904,43910,38216,39040,42146,42473,42716,50026,50810
ESRCB,4622,5977,5851,6523,7228,7610,9235,9962,11064,13353,14765,16825,19851,22918,24209,24353,24903,26800,28634,31745,32881,32516,32426,35576,37908,41794,42785,47156,50262,52024,52469,53369,55378,56998,62141,61537,67375,70569,73736,76829,84768,89395,90120,94654,98677,104215,110438,117498,113402,112073,110713,112866,112333,112949,110365,113167
ESTCB,20942,22731,24915,26829,28595,29360,32653,34201,36636,42469,46980,51970,59346,65254,69205,72224,75501,79551,81984,88889,91312,98354,91657,95138,101496,112599,115957,125012,132783,139031,141494,142787,148938,151520,161326,165786,177712,185803,190537,196743,208576,212480,213594,218639,228376,236761,249938,263383,260226,250553,248506,255708,256116,258159,260328,263916
ESTXB,20942,22731,24915,26829,28595,29360,32653,34201,36636,42469,46980,51970,59346,65254,69205,72224,75501,79551,81984,88889,91312,98354,91657,95138,101496,112599,115957,125012,132783,139031,141494,142787,148938,151520,161326,165786,177712,185803,190537,196743,208576,212480,213594,218639,228376,236761,249938,263383,260226,250553,248506,255708,256116,258159,260328,263916
FFTCB,261910,286116,305529,322246,331235,318872,341080,344236,386730,420086,426321,456013,509993,562130,579109,563589,627537,707488,703765,772665,720320,796136,757090,705081,763697,796491,735674,746189,785400,857319,821494,830159,868850,887986,930683,879167,898554,938073,1016590,1066187,1144386,1183282,1188639,1219677,1340408,1332032,1380388,1413021,1412471,1290735,1292321,1253940,1247956,1288993,1255904,1258052
FNICB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOICB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSICB,0,0,0,0,0,0,0,0,0,0,0,22,46,10,18,19,33,38,42,26,31,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GDPRX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163114,177319,192410,202215,206560,212195,224650,232105,251185,265798,272417,262521,242509,243101,247414,252545,253743,258228,261891
GECCB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,44,44,44,50,54,54,56,52,48,40,42,42,50,48,48,48,48
GEEGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEICB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,227,227,227,227,227,227,227,227,227,228,228,228,228,162,181,205,209,224,290,244,249,249,247,247,247,247
GERCB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,8,8,8,8,8,9,9,9,14,14,15,16,19,20,23,26,30,35,44,48,46,50,50,50,50
