VAR,Predict value
coalVT,0.15602887167497467
coalVA,-3.43613576535196e-05
coalVC,0.0013238873060134214
coalVI,0.016536116902051715
coalVR,0.0002687369961309949
ngVT,-0.04055950143696066
ngVA,-0.033232251140705854
ngVC,0.05402220605374353
ngVI,-0.05492173789944771
ngVR,-0.0441740772015525
petroVT,0.8302048021788346
petroVA,1.0582736738646426
petroVC,0.6621076524440617
petroVI,0.979960234123331
petroVR,0.6841095647971027
reVT,0.04577129111577372
reVA,-0.025006855194566344
reVC,0.2825472021604412
reVI,0.058425363683940544
reVR,0.3597958414237965
nuVT,0.008554531270639144
