VAR,Predict value
coalVT,0.1688772146419938
coalVA,0.0
coalVC,0.0010875846332300942
coalVI,0.007372724019209077
coalVR,0.000219757285280196
ngVT,0.11984071862505936
ngVA,0.16300492772070896
ngVC,0.21159355790308176
ngVI,0.3496955612553869
ngVR,0.32765583198785103
petroVT,0.6596493911343194
petroVA,0.831460472617744
petroVC,0.5457112166320408
petroVI,0.5548986634995147
petroVR,0.4457327915401501
reVT,0.05163212400093873
reVA,0.005530308406339656
reVC,0.24159907932147162
reVI,0.0880288831926654
reVR,0.2263814868233941
nuVT,0.0
