VAR,Predict value
coalVT,0.2130591577152404
coalVA,-5.3391422487945505e-05
coalVC,0.0019016730150150077
coalVI,0.021983133790782844
coalVR,0.00039923441144246624
ngVT,-0.13917145556995583
ngVA,-0.06763014987004459
ngVC,0.0003785705490588487
ngVI,-0.2018176787519666
ngVR,-0.14894120440342082
petroVT,0.8755059728864643
petroVA,1.1096712562780047
petroVC,0.7038169321652934
petroVI,1.1162868421624332
petroVR,0.7399625014606923
reVT,0.043983270418559386
reVA,-0.04198721224091292
reVC,0.2939047458978975
reVI,0.06354772605403163
reVR,0.4085799568476237
nuVT,0.006623066107124581
