VAR,Predict value
coalVT,0.004405788374518471
coalVA,-3.2295295561898173e-06
coalVC,0.0007155079551580646
coalVI,0.018899244948604243
coalVR,7.627976066522949e-05
ngVT,0.1326052795420498
ngVA,0.004248312178140286
ngVC,0.17791999687022814
ngVI,0.274615678386551
ngVR,0.3388485752894416
petroVT,0.7285410102060775
petroVA,0.9880737507694723
petroVC,0.5565722915884364
petroVI,0.6094970796072233
petroVR,0.41872135813533834
reVT,0.1118762929105146
reVA,0.007680895706685858
reVC,0.26479151658351285
reVI,0.09698762269164357
reVR,0.24235309614632167
nuVT,0.022571569909825548
